Product Name,Current Factory,Scenario Factory,Records Scored,Predicted Slow Probability,Predicted Slow Rate,Current Slow Probability,Probability Reduction,Improvement_Percentage_Points,Is_Current_Factory
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,3,0.5203334503716098,0.6666666666666666,0.5247327258600903,0.004399275488480514,0.4399275488480514,False
Everlasting Gobstopper,Secret Factory,Secret Factory,3,0.5247327258600903,0.6666666666666666,0.5247327258600903,0.0,0.0,True
Everlasting Gobstopper,Secret Factory,Sugar Shack,3,0.5278605507424919,0.6666666666666666,0.5247327258600903,-0.0031278248824015975,-0.31278248824015975,False
Everlasting Gobstopper,Secret Factory,The Other Factory,3,0.498854064662293,0.6666666666666666,0.5247327258600903,0.02587866119779736,2.587866119779736,False
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,3,0.5142728358938021,0.6666666666666666,0.5247327258600903,0.010459889966288216,1.0459889966288216,False
Fizzy Lifting Drinks,Sugar Shack,Lot's O' Nuts,6,0.28112794815991443,0.3333333333333333,0.2926228986400306,0.011494950480116173,1.1494950480116173,False
Fizzy Lifting Drinks,Sugar Shack,Secret Factory,6,0.28748724539984727,0.3333333333333333,0.2926228986400306,0.0051356532401833355,0.5135653240183335,False
Fizzy Lifting Drinks,Sugar Shack,Sugar Shack,6,0.2926228986400306,0.3333333333333333,0.2926228986400306,0.0,0.0,True
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,6,0.2781941754093261,0.3333333333333333,0.2926228986400306,0.014428723230704488,1.4428723230704488,False
Fizzy Lifting Drinks,Sugar Shack,Wicked Choccy's,6,0.29172134165721525,0.3333333333333333,0.2926228986400306,0.0009015569828153547,0.09015569828153547,False
Fun Dip,Sugar Shack,Lot's O' Nuts,3,0.4459317625535472,0.3333333333333333,0.44419362692585435,-0.0017381356276928717,-0.17381356276928717,False
Fun Dip,Sugar Shack,Secret Factory,3,0.4635066135337535,0.3333333333333333,0.44419362692585435,-0.019312986607899152,-1.9312986607899152,False
Fun Dip,Sugar Shack,Sugar Shack,3,0.44419362692585435,0.3333333333333333,0.44419362692585435,0.0,0.0,True
Fun Dip,Sugar Shack,The Other Factory,3,0.45452319678744413,0.3333333333333333,0.44419362692585435,-0.010329569861589782,-1.0329569861589782,False
Fun Dip,Sugar Shack,Wicked Choccy's,3,0.47160130256293115,0.3333333333333333,0.44419362692585435,-0.0274076756370768,-2.74076756370768,False
Hair Toffee,The Other Factory,Lot's O' Nuts,4,0.3881935184103008,0.5,0.36973023496099194,-0.018463283449308865,-1.8463283449308865,False
Hair Toffee,The Other Factory,Secret Factory,4,0.38527686767353414,0.5,0.36973023496099194,-0.015546632712542197,-1.5546632712542197,False
Hair Toffee,The Other Factory,Sugar Shack,4,0.39166986979488966,0.5,0.36973023496099194,-0.021939634833897714,-2.1939634833897714,False
Hair Toffee,The Other Factory,The Other Factory,4,0.36973023496099194,0.5,0.36973023496099194,0.0,0.0,True
Hair Toffee,The Other Factory,Wicked Choccy's,4,0.3694305076052002,0.5,0.36973023496099194,0.0002997273557917568,0.02997273557917568,False
Kazookles,The Other Factory,Lot's O' Nuts,96,0.2685113232158542,0.2604166666666667,0.26053648092817844,-0.007974842287675754,-0.7974842287675754,False
Kazookles,The Other Factory,Secret Factory,96,0.27422329557914366,0.2708333333333333,0.26053648092817844,-0.013686814650965218,-1.3686814650965218,False
Kazookles,The Other Factory,Sugar Shack,96,0.2742273214751442,0.23958333333333334,0.26053648092817844,-0.013690840546965788,-1.3690840546965788,False
Kazookles,The Other Factory,The Other Factory,96,0.26053648092817844,0.20833333333333334,0.26053648092817844,0.0,0.0,True
Kazookles,The Other Factory,Wicked Choccy's,96,0.2692250646213042,0.25,0.26053648092817844,-0.008688583693125751,-0.8688583693125751,False
Laffy Taffy,Sugar Shack,Lot's O' Nuts,10,0.3638521291720436,0.4,0.3665854496355031,0.0027333204634594765,0.27333204634594765,False
Laffy Taffy,Sugar Shack,Secret Factory,10,0.3674593792994487,0.4,0.3665854496355031,-0.0008739296639456162,-0.08739296639456162,False
Laffy Taffy,Sugar Shack,Sugar Shack,10,0.3665854496355031,0.4,0.3665854496355031,0.0,0.0,True
Laffy Taffy,Sugar Shack,The Other Factory,10,0.3529030354350557,0.4,0.3665854496355031,0.013682414200447413,1.3682414200447413,False
Laffy Taffy,Sugar Shack,Wicked Choccy's,10,0.35989997088989606,0.4,0.3665854496355031,0.006685478745607043,0.6685478745607043,False
Lickable Wallpaper,Secret Factory,Lot's O' Nuts,94,0.3431738170649925,0.32978723404255317,0.34511943549706275,0.0019456184320702508,0.19456184320702508,False
Lickable Wallpaper,Secret Factory,Secret Factory,94,0.34511943549706275,0.3404255319148936,0.34511943549706275,0.0,0.0,True
Lickable Wallpaper,Secret Factory,Sugar Shack,94,0.3495571899141792,0.3404255319148936,0.34511943549706275,-0.0044377544171164685,-0.44377544171164685,False
Lickable Wallpaper,Secret Factory,The Other Factory,94,0.33288505906097937,0.32978723404255317,0.34511943549706275,0.012234376436083383,1.2234376436083383,False
Lickable Wallpaper,Secret Factory,Wicked Choccy's,94,0.34354927447608463,0.35106382978723405,0.34511943549706275,0.0015701610209781225,0.15701610209781225,False
Nerds,Sugar Shack,Lot's O' Nuts,4,0.4869935220431137,0.5,0.48665598227031426,-0.00033753977279943337,-0.03375397727994334,False
Nerds,Sugar Shack,Secret Factory,4,0.48930998058918174,0.5,0.48665598227031426,-0.0026539983188674787,-0.2653998318867479,False
Nerds,Sugar Shack,Sugar Shack,4,0.48665598227031426,0.5,0.48665598227031426,0.0,0.0,True
Nerds,Sugar Shack,The Other Factory,4,0.4774038968475837,0.5,0.48665598227031426,0.009252085422730538,0.9252085422730538,False
Nerds,Sugar Shack,Wicked Choccy's,4,0.481512540918812,0.5,0.48665598227031426,0.005143441351502243,0.5143441351502243,False
SweeTARTS,Sugar Shack,Lot's O' Nuts,10,0.4534541511596329,0.5,0.4593193738820031,0.0058652227223702225,0.5865222722370222,False
