Transformed_Feature,Importance,Importance_Percentage,Original_Feature
cat__State/Province_Idaho,0.00011207035232511764,0.011207035232511764,State/Province
cat__State/Province_Prince Edward Island,0.0001056540256224977,0.010565402562249769,State/Province
cat__State/Province_Manitoba,8.954867032691643e-05,0.008954867032691643,State/Province
cat__State/Province_Newfoundland and Labrador,8.454563553947246e-05,0.008454563553947246,State/Province
cat__Product Name_SweeTARTS,6.642625172940692e-05,0.006642625172940692,Product Name
cat__State/Province_Nova Scotia,6.438335273708219e-05,0.006438335273708219,State/Province
cat__State/Province_North Dakota,5.902729628871793e-05,0.005902729628871793,State/Province
cat__State/Province_New Brunswick,5.16467169088231e-05,0.00516467169088231,State/Province
cat__Product Name_Laffy Taffy,2.521832947781759e-05,0.002521832947781759,Product Name
cat__Product Name_Fun Dip,2.2111977503215902e-05,0.0022111977503215903,Product Name
cat__Product Name_Fizzy Lifting Drinks,1.5457643181145507e-05,0.0015457643181145508,Product Name
cat__State/Province_Saskatchewan,1.288142921048622e-05,0.001288142921048622,State/Province
cat__Product Name_Hair Toffee,9.36214383839883e-06,0.0009362143838398829,Product Name
cat__Product Name_Nerds,6.52767074464914e-06,0.000652767074464914,Product Name
cat__Product Name_Everlasting Gobstopper,6.204138964462602e-06,0.0006204138964462602,Product Name
